"","pfCode","yr","period","periodDesc","aggrLevel","IsLeaf","rgCode","rgDesc","rtCode","rtTitle","rt3ISO","ptCode","ptTitle","pt3ISO","ptCode2","ptTitle2","pt3ISO2","cstCode","cstDesc","motCode","motDesc","cmdCode","cmdDescE","qtCode","qtDesc","qtAltCode","qtAltDesc","TradeQuantity","AltQuantity","NetWeight","GrossWeight","TradeValue","CIFValue","FOBValue","estCode"
"264","H5","2017",2017-01-01,"2017","6","1","2","Export","300","Greece","GRC","0","World","WLD",NA,"","","","","","","391190","Polysulphides, polysulphones and similar products of chemical synthesis n.e.c. in chapter 39; in primary forms","8","Weight in kilograms",NA,"","117313",NA,"117313",NA,469034,NA,NA,"0"
"265","H5","2017",2017-01-01,"2017","6","1","2","Export","300","Greece","GRC","0","World","WLD",NA,"","","","","","","392099","Plastics; plates, sheets, film, foil and strip (not self-adhesive), of plastics n.e.c. in heading no. 3920, non-cellular and not reinforced, laminated, supported or similarly combined with other materials","8","Weight in kilograms",NA,"","761375",NA,"761375",NA,2063784,NA,NA,"0"
"266","H5","2017",2017-01-01,"2017","6","1","2","Export","276","Germany","DEU","0","World","WLD",NA,"","","","","","","848071","Moulds; for rubber or plastics, injection or compression types","8","Weight in kilograms",NA,"","25241270",NA,"25241270",NA,1119099456,NA,NA,"0"
"267","H5","2017",2017-01-01,"2017","6","1","2","Export","300","Greece","GRC","0","World","WLD",NA,"","","","","","","848071","Moulds; for rubber or plastics, injection or compression types","8","Weight in kilograms",NA,"","200228",NA,"200228",NA,1961172,NA,NA,"0"
"268","H5","2017",2017-01-01,"2017","4","0","2","Export","276","Germany","DEU","0","World","WLD",NA,"","","","","","","8486","Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers, semiconductor devices, electronic integrated circuits or flat panel displays; machines and apparatus specified in note 9-C to this Chapter","1","No Quantity",NA,"","0",NA,"13705345",NA,2177738622,NA,NA,"6"
"269","H5","2017",2017-01-01,"2017","4","0","2","Export","300","Greece","GRC","0","World","WLD",NA,"","","","","","","8486","Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers, semiconductor devices, electronic integrated circuits or flat panel displays; machines and apparatus specified in note 9-C to this Chapter","1","No Quantity",NA,"","0",NA,"53310",NA,762484,NA,NA,"2"
"270","H5","2017",2017-01-01,"2017","6","1","2","Export","276","Germany","DEU","0","World","WLD",NA,"","","","","","","854370","Electrical machines and apparatus; having individual functions, not specified or included elsewhere in this chapter, n.e.c. in heading no. 8543","1","No Quantity",NA,"","0",NA,"24934107",NA,2965098325,NA,NA,"6"
"271","H5","2017",2017-01-01,"2017","6","1","2","Export","300","Greece","GRC","0","World","WLD",NA,"","","","","","","854370","Electrical machines and apparatus; having individual functions, not specified or included elsewhere in this chapter, n.e.c. in heading no. 8543","1","No Quantity",NA,"","0",NA,"205515",NA,5773312,NA,NA,"2"
"272","H5","2017",2017-01-01,"2017","6","1","2","Export","276","Germany","DEU","0","World","WLD",NA,"","","","","","","854390","Electrical machines and apparatus; parts of the electrical goods of heading no. 8543","8","Weight in kilograms",NA,"","3708174",NA,"3708174",NA,462799575,NA,NA,"6"
"273","H5","2017",2017-01-01,"2017","6","1","2","Export","300","Greece","GRC","0","World","WLD",NA,"","","","","","","854390","Electrical machines and apparatus; parts of the electrical goods of heading no. 8543","8","Weight in kilograms",NA,"","7790",NA,"7790",NA,449614,NA,NA,"0"
"274","H5","2017",2017-01-01,"2017","6","1","2","Export","304","Greenland","GRL","0","World","WLD",NA,"","","","","","","854390","Electrical machines and apparatus; parts of the electrical goods of heading no. 8543","8","Weight in kilograms",NA,"","2",NA,"2",NA,229,NA,NA,"0"
"275","H5","2017",2017-01-01,"2017","6","1","2","Export","276","Germany","DEU","0","World","WLD",NA,"","","","","","","903082","Instruments and apparatus; for measuring or checking semiconductor wafers or devices","1","No Quantity",NA,"","0",NA,"523735",NA,203433242,NA,NA,"2"
"276","H5","2017",2017-01-01,"2017","6","1","2","Export","300","Greece","GRC","0","World","WLD",NA,"","","","","","","903082","Instruments and apparatus; for measuring or checking semiconductor wafers or devices","1","No Quantity",NA,"","0",NA,"1",NA,962,NA,NA,"2"
"277","H5","2017",2017-01-01,"2017","6","1","2","Export","276","Germany","DEU","0","World","WLD",NA,"","","","","","","903141","Optical instruments and appliances; for inspecting semiconductor wafers or devices or for inspecting photomasks or reticles used in manufacturing semiconductor devices, n.e.c. in chapter 90","1","No Quantity",NA,"","0",NA,"459110",NA,161200662,NA,NA,"6"
"278","H5","2017",2017-01-01,"2017","6","1","2","Export","300","Greece","GRC","0","World","WLD",NA,"","","","","","","903141","Optical instruments and appliances; for inspecting semiconductor wafers or devices or for inspecting photomasks or reticles used in manufacturing semiconductor devices, n.e.c. in chapter 90","1","No Quantity",NA,"","0",NA,"2",NA,569,NA,NA,"2"
"279","H5","2017",2017-01-01,"2017","6","1","2","Export","320","Guatemala","GTM","0","World","WLD",NA,"","","","","","","281111","Hydrogen fluoride (hydrofluoric acid)","8","Weight in kilograms",NA,"","2940",NA,"2940",NA,7802,NA,NA,"0"
"280","H5","2017",2017-01-01,"2017","6","1","2","Export","340","Honduras","HND","0","World","WLD",NA,"","","","","","","281111","Hydrogen fluoride (hydrofluoric acid)","8","Weight in kilograms",NA,"","7590",NA,"7590",NA,14278,NA,NA,"0"
"281","H5","2017",2017-01-01,"2017","6","1","2","Export","320","Guatemala","GTM","0","World","WLD",NA,"","","","","","","370790","Photographic goods; chemical preparations other than sensitised emulsions, put up in measured portions or put up for retail sale in a form ready for use","8","Weight in kilograms",NA,"","9104",NA,"9104",NA,191882,NA,NA,"0"
